X,Y,class_id,class_name,Blue,Green,Red,RedEdge,NIR,nDSM_m,Thermal_C
458870.5225,4334217.3093,1,Tree,0.085195,0.138305,0.126029,0.250868,0.430266,10.0280,30.7083
458868.2357,4334219.0749,1,Tree,0.061592,0.099398,0.088672,0.133440,0.245940,10.0268,29.4036
458860.9096,4334210.6083,1,Tree,0.089198,0.155740,0.132060,0.273356,0.530505,3.8844,37.4419
458863.0486,4334216.1167,1,Tree,0.049890,0.065744,0.073882,0.089593,0.152978,7.0867,29.3615
458865.2799,4334212.3483,1,Tree,0.074094,0.118458,0.101225,0.178040,0.322155,8.8147,31.2834
458868.4233,4334209.8997,1,Tree,0.073038,0.121224,0.103981,0.211976,0.457364,6.9750,31.5921
458862.8372,4334213.5607,1,Tree,0.054331,0.084449,0.080541,0.120109,0.217086,7.8595,30.5960
458865.7014,4334220.3192,1,Tree,0.054422,0.073307,0.071727,0.091969,0.148116,7.6690,28.8846
458861.2215,4334215.9470,1,Tree,0.070636,0.110032,0.098960,0.175374,0.310864,6.6056,29.7684
458868.0837,4334208.3983,1,Tree,0.083248,0.135716,0.124474,0.258519,0.522695,5.3861,32.6021
458868.3480,4334210.4005,1,Tree,0.080154,0.143330,0.120817,0.243246,0.532136,6.9462,31.2133
458863.0551,4334209.2248,1,Tree,0.092201,0.166451,0.159484,0.274632,0.490328,2.9139,40.0652
458869.6880,4334214.7515,1,Tree,0.062593,0.095388,0.095958,0.137439,0.253719,10.0100,30.8907
458859.8650,4334215.6394,1,Tree,0.060700,0.086454,0.085807,0.130687,0.202250,5.6955,29.4177
458862.2542,4334218.3399,1,Tree,0.053221,0.078358,0.074373,0.099852,0.167154,8.5098,28.9688
458863.1791,4334216.0411,1,Tree,0.048671,0.067902,0.072354,0.084289,0.152664,7.1591,29.3615
458867.2851,4334210.6317,1,Tree,0.089471,0.145614,0.130587,0.267271,0.493621,7.9772,31.2133
458864.5239,4334212.0275,1,Tree,0.095549,0.160309,0.142429,0.299236,0.513161,8.3373,31.2554
458872.2128,4334213.4057,1,Tree,0.080627,0.140462,0.116179,0.240261,0.533202,8.2883,32.0269
458862.6413,4334216.4062,1,Tree,0.048871,0.067597,0.074428,0.080551,0.123057,7.1976,29.8105
458871.2257,4334210.8554,1,Tree,0.084904,0.137924,0.121745,0.221888,0.450621,6.5144,35.6603
458870.0833,4334219.4128,1,Tree,0.060172,0.086276,0.089327,0.129556,0.241267,10.0130,29.6982
458863.9960,4334209.5185,1,Tree,0.092146,0.168481,0.138746,0.295295,0.579025,3.6672,34.6783
458872.8133,4334217.7069,1,Tree,0.066960,0.105793,0.104663,0.180272,0.361297,8.2464,30.0069
458863.1663,4334212.8962,1,Tree,0.073384,0.120666,0.108292,0.215802,0.435629,8.0318,30.9187
458870.4807,4334217.9370,1,Tree,0.084976,0.146172,0.125047,0.281558,0.560332,9.9597,30.1892
458873.2345,4334215.2689,1,Tree,0.078734,0.124067,0.110776,0.230900,0.471259,7.9469,31.4237
458871.0255,4334216.7061,1,Tree,0.053694,0.073840,0.082560,0.092867,0.146297,9.7510,29.8666
458871.2034,4334215.6171,1,Tree,0.083739,0.138584,0.124774,0.232697,0.442247,9.8801,30.6522
458866.8661,4334214.5480,1,Tree,0.080791,0.138457,0.109984,0.224873,0.429105,9.8312,30.9467
458858.2818,4334217.9185,1,Tree,0.054040,0.075059,0.073828,0.091563,0.130427,4.8071,28.7303
458863.2253,4334215.8556,1,Tree,0.048944,0.066633,0.071727,0.082319,0.146517,7.0893,29.5299
458864.9031,4334219.8411,1,Tree,0.054240,0.078789,0.077293,0.101446,0.162450,8.6406,28.9407
458862.7954,4334210.2503,1,Tree,0.093948,0.162872,0.136099,0.304105,0.621460,5.1085,33.0089
458868.7998,4334221.7115,1,Tree,0.055441,0.078333,0.080240,0.100605,0.178257,8.4054,29.3475
458873.3279,4334216.3521,1,Tree,0.063776,0.118483,0.099315,0.212208,0.497824,8.0711,30.8907
458863.2890,4334209.4246,1,Tree,0.103739,0.179090,0.198069,0.301496,0.517301,3.4496,40.3879
458861.7153,4334214.5410,1,Tree,0.079699,0.130386,0.115142,0.251795,0.453005,7.0856,30.4557
458865.0259,4334211.2329,1,Tree,0.079189,0.132594,0.113286,0.224728,0.429325,7.9964,31.4518
458859.8270,4334213.0968,1,Tree,0.079044,0.126579,0.111485,0.206006,0.339562,5.4269,30.9327
458866.7973,4334218.9934,1,Tree,0.076496,0.127239,0.113013,0.245970,0.434406,9.9726,29.8105
458866.4209,4334212.5040,1,Tree,0.076059,0.132163,0.113559,0.227886,0.435096,9.4778,30.8766
458868.3833,4334215.7605,1,Tree,0.077915,0.141731,0.111103,0.254809,0.482079,10.3829,30.5960
458860.2644,4334215.5470,1,Tree,0.060209,0.103154,0.087390,0.150422,0.268836,6.1774,29.2353
458869.4766,4334219.9390,1,Tree,0.091400,0.143279,0.140165,0.261880,0.399561,9.9014,29.5860
458861.8848,4334219.4000,1,Tree,0.053239,0.069678,0.070117,0.085101,0.126601,3.4919,28.5900
458864.1588,4334217.8523,1,Tree,0.059590,0.088967,0.082287,0.109473,0.222010,10.5211,29.6982
458868.8020,4334216.2945,1,Tree,0.068780,0.106606,0.103271,0.172418,0.330058,10.4516,30.7924
458863.3375,4334210.6586,1,Tree,0.082265,0.142061,0.115960,0.243159,0.500207,5.3560,32.1392
458858.4451,4334217.1840,1,Tree,0.068689,0.097342,0.097268,0.143583,0.221947,4.7637,29.0108
458866.6802,4334211.3037,1,Tree,0.091309,0.151045,0.136044,0.281500,0.518743,8.7169,31.4518
458869.0055,4334210.4625,1,Tree,0.066341,0.110666,0.124529,0.174969,0.292390,7.2828,32.4478
458869.8051,4334213.8895,1,Tree,0.087342,0.142568,0.133697,0.269038,0.478315,9.7429,31.7324
458863.6920,4334209.4798,1,Tree,0.067361,0.117316,0.100406,0.196472,0.439895,3.7601,36.6844
458862.2396,4334218.2989,1,Tree,0.053275,0.077394,0.073009,0.100576,0.163955,8.4614,28.9688
458872.0116,4334216.6080,1,Tree,0.060591,0.089982,0.089846,0.146249,0.281444,10.0661,29.7824
458866.9870,4334211.5515,1,Tree,0.077060,0.136249,0.115414,0.220062,0.450872,8.8286,31.1011
458873.4653,4334217.8651,1,Tree,0.062665,0.096225,0.092138,0.142685,0.286086,8.7037,30.4698
458863.6564,4334213.2839,1,Tree,0.082592,0.141122,0.120845,0.249361,0.491865,8.3192,31.2694
458870.4170,4334222.1255,1,Tree,0.067652,0.107849,0.097896,0.177229,0.325605,5.0912,30.6662
458868.9506,4334209.0065,1,Tree,0.073875,0.130209,0.114623,0.238377,0.505853,6.1829,32.9248
458859.5057,4334218.3557,1,Tree,0.051565,0.070084,0.071999,0.087303,0.127949,5.4017,28.4497
458867.3205,4334218.8139,1,Tree,0.059972,0.089043,0.085616,0.143148,0.247226,9.8758,29.1651
458869.1241,4334211.2678,1,Tree,0.096259,0.159370,0.144804,0.290223,0.547441,8.7942,31.6342
458870.1763,4334211.4772,1,Tree,0.071091,0.119067,0.104772,0.214556,0.484243,7.0906,31.8446
458863.4182,4334219.6949,1,Tree,0.057024,0.082063,0.081223,0.102054,0.170886,9.2209,28.6601
458869.0834,4334221.3527,1,Tree,0.074785,0.119981,0.114814,0.227568,0.403293,8.5795,29.6421
458869.2228,4334216.8196,1,Tree,0.081373,0.130995,0.123710,0.223134,0.413706,10.1480,30.6942
458859.3694,4334213.5826,1,Tree,0.081664,0.139675,0.117898,0.233625,0.412106,5.1712,31.0870
458862.3664,4334211.5860,1,Tree,0.085468,0.146629,0.126084,0.274516,0.499172,5.6258,31.8165
458873.3190,4334217.8334,1,Tree,0.073220,0.125843,0.108210,0.213396,0.385729,8.6841,30.4698
458871.6200,4334215.7598,1,Tree,0.077078,0.136046,0.112822,0.237479,0.484024,10.0173,30.5820
458867.8127,4334215.5965,1,Tree,0.085013,0.122290,0.129904,0.259939,0.424213,9.9246,30.6522
458869.0107,4334210.5068,1,Tree,0.068543,0.114042,0.116833,0.178330,0.297503,7.2253,32.4478
458873.7177,4334213.6220,1,Tree,0.082920,0.142442,0.130941,0.259997,0.540730,6.2810,32.3917
458865.2141,4334223.2477,1,Tree,0.055677,0.077267,0.077948,0.100084,0.160066,6.5822,28.7443
458862.8775,4334213.8631,1,Tree,0.052984,0.078713,0.076966,0.103706,0.189517,7.4024,29.9928
458872.6042,4334212.7629,1,Tree,0.076842,0.126452,0.128021,0.251998,0.585454,5.0157,32.3777
458860.6942,4334216.6339,1,Tree,0.071128,0.121732,0.107501,0.201456,0.364872,6.7266,29.3475
458874.0897,4334218.8806,1,Tree,0.092383,0.146198,0.147614,0.276602,0.400658,7.4359,33.5140
458867.6931,4334209.2168,1,Tree,0.094439,0.165943,0.136972,0.311437,0.598094,6.0591,32.0410
458860.1803,4334216.0130,1,Tree,0.051783,0.071734,0.076420,0.093215,0.149810,5.9136,29.2633
458873.0626,4334219.6026,1,Tree,0.075786,0.111834,0.112522,0.174244,0.304058,7.1246,31.3255
458869.9113,4334218.9848,1,Tree,0.058862,0.098357,0.086025,0.137845,0.298820,9.8056,29.7684
458864.0139,4334212.3864,1,Tree,0.069690,0.116377,0.109329,0.185257,0.329462,8.1484,31.1432
458871.8743,4334220.7216,1,Tree,0.062210,0.079069,0.076829,0.081623,0.098310,-0.0136,31.2554
458866.6671,4334215.7417,1,Tree,0.085049,0.142949,0.126411,0.284833,0.526083,10.4600,30.6101
